Index,Nombre1,Nombre2,Nombre3,Direccion1,Direccion2,Direccion3,Colonia,MunicipioDel,CP,EntreCalle1,EntreCalle2,Estado,NombComp
14,LAMINA PERFIL Y RECO,RTE SA DE CV,,SAN ESTEBAN,48 B,C,SANTO TOMAS,AZCAPOTZALCO,2020,STO TOM,GRANJAS,CDMX,LAMINA PERFIL Y RECORTE  SA DE CV
15,HEGUTEX SA DE CV,,,LAS CRUCES,LOC 7,,CENTRO DE LA CIUDAD,CUAUHTEMOC,6000,VENUSTIANO CARRANZA,REP URUGUAY,CDMX,HEGUTEX  SA DE CV
16,EDITORIAL IZTACCIHUA,TL SA DE CV,,MIGUEL E SCHULTZ,21,,SAN RAFAEL,CUAUHTEMOC,6470,A,B,CDMX,EDITORIAL IZTACCIHUATL  SA DE CV
17,SOLUCIONES INTEGRALE,S VISION ARQUITECTON,ICA SUSTENT SA DE CV,SILVESTRE REVUELTAS,4,,GUADALUPE INN,ALVARO OBREGON,1020,SAGREDO Y,BARRANCA DEL MUERTO,CDMX,SOLUCIONES INTEGRALES VISION ARQUITECTONICA SUSTENT  SA DE CV
18,"LITOLOVER,SA DE CV",,,AV FERROCARRIL,265,A,MOCTEZUMA 2DA SECC,VENUSTIANO CARRANZA,15500,MARES,SOLES,CDMX,"LITOLOVER, SA DE CV"
19,ANYMATE SHOW SA DE C,V,,MIGUEL NORE#A,33 BIS,,SAN JOSE INSURGENTES,BENITO JUAREZ,3900,REVOLUCION,PERIFERICO,CDMX,ANYMATE SHOW  SA DE CV
20,GASTRONOMICA LIVA SA,DE CV,,CALZADA DE LOS LEONES,145,LOC 9,LAS AGUILAS,ALVARO OBREGON,1710,LUISIANA Y,ALABAMA,CDMX,GASTRONOMICA LIVA SA DE CV
21,SAC DESIGNS SA DE CV,,,PRESA SALINILLAS,370,504,IRRIGACION,MIGUEL HIDALGO,11500,PRESA VALSEQUILLO,AVENIDA LOMAS DE SOTELO,CDMX,SAC DESIGNS  SA DE CV
22,"AMERICAN HOTEL,SA DE",CV,,MAR AZOF,62,,POPOTLA,MIGUEL HIDALGO,11400,MAR JONICO,POCITO,CDMX,"AMERICAN HOTEL, SA DE CV"
23,ENCUADERNADORA MEXIC,ANA SA DE CV,,GOLFO DE CALIFORNIA,32,,TACUBA,MIGUEL HIDALGO,11410,CALZADA MEX # TACUBA,MAR,CDMX,ENCUADERNADORA MEXICANA  SA DE CV
24,ECO SIGNS SA DE CV,,,BOLIVAR,817,,ALAMOS,BENITO JUAREZ,3400,XOLA,CORRESPONDENCIA,CDMX,ECO SIGNS  SA DE CV
25,SURTIDORA DE PRODUCT,OS TORRES SA DE CV,,ALFONSO XIII,254,9,ALAMOS,BENITO JUAREZ,3400,XOLA,TLALPAN,CDMX,SURTIDORA DE PRODUCTOS TORRES  SA DE CV
26,SANTI - AGRO MARAVAT,IO SPR DE RL DE CV,,MENPHIS,21,,CLAVERIA,AZCAPOTZALCO,2080,NILO,NUBIA,CDMX,SANTI - AGRO MARAVATIO SPR DE RL DE CV
27,"MEGA ENVASES, S.A. D",E C#V#,,MIGUEL HIDALGO,67 PB,,TIZAPAN,ALVARO OBREGON,1090,UNO,DOS,CDMX,"MEGA ENVASES, SA DE CV"
28,MIT MEXICO INTELLIGE,NT TECHNOLOGY SA DE,CV,AVENIDA TLAHUAC 1132,EDIFICIO,C 204,GRANJAS ESTRELLA,IZTAPALAPA,9880,GRANJAS,ESTRELLA,CDMX,MIT MEXICO INTELLIGENT TECHNOLOGY  SA DE CV
29,CONSTRUCTORA DEL PAR,QUE 22 SA DE CV,,AV INSURGENTES SUR,470,403,ROMA SUR,CUAUHTEMOC,6760,,,CDMX,CONSTRUCTORA DEL PARQUE 22  SA DE CV
30,NIFERSA INFORMATION,TECHNOLOGY SA DE CV,,EJERCITO NACIONAL,205,302,VERONICA ANZURES,MIGUEL HIDALGO,11300,PROGRESO,ANTONIO MACED,CDMX,NIFERSA INFORMATION TECHNOLOGY  SA DE CV
31,MCGUFFIN CASA PRODUC,TORA SA DE CV,,ROUSSEAU,14,803,ANZURES,MIGUEL HIDALGO,11590,HEGEL,ROUS,CDMX,MCGUFFIN CASA PRODUCTORA  SA DE CV
32,PROMOTORA NACIONAL D,E LA VIVIENDA# SA DE,CV,PTO ESCONDIDO,MZ 42,LT 5,AMPLIACION PILOTO,ALVARO OBREGON,1290,SAN JOSE DEL CABO,PTO ESCONDIDO,CDMX,PROMOTORA NACIONAL DE LA VIVIENDA SA DE CV
33,RICHCO GLOBAL GROUP,SA DE CV,,ARCADAS,55,E 001,COLINA DEL SUR,ALVARO OBREGON,1430,DE LAS CARRETAS,AV CENTENARIO,CDMX,RICHCO GLOBAL GROUP  SA DE CV
34,TRG MEXICO S DE RL D,E CV,,AV CANAL DE MIRAMONTES,1493 PB,,COUNTRY CLUB,COYOACAN,4220,CALLE,CALLE,CDMX,TRG MEXICO S DE RL DE CV
35,ZAPATILLAS BAMBA SA,DE CV,,SAN ISIDRO TECPATL,202,A,INDUSTRIAL SAN ANTON,AZCAPOTZALCO,2760,TEZOZOMOC,AQUILES SERDAN,CDMX,ZAPATILLAS BAMBA  SA DE CV
36,EXE COMERCIALIZADORA,SA DE CV,,INT METRO TACUBAYA,SN,CM10,TACUBAYA,MIGUEL HIDALGO,11870,GENOVA,AMBERES,CDMX,EXE COMERCIALIZADORA SA DE CV
37,GROW Y ASOCIADOS SA,DE CV,,AV PACIFICO,350 EDIF,F DEP104,PEDREGAL DE COYOACAN,COYOACAN,4330,CRUZ VERDE,AMERICA,CDMX,GROW Y ASOCIADOS  SA DE CV
38,CONSULTORIA EMPRESAR,IAL ALVAREZ RUEDA SA,DE CV,NICOLAS SAN JUAN,1152,########,DEL VALLE,BENITO JUAREZ,3100,MATIAS ROMERO,EJE 6,CDMX,CONSULTORIA EMPRESARIAL ALVAREZ RUEDA SA DE CV
39,GRAFIC KING SA DE CV,,,LAGUNA DE TERMINOS,534,,ANAHUAC I SECCION,MIGUEL HIDALGO,11320,,,CDMX,GRAFIC KING  SA DE CV
40,ALLNETI SA DE CV,,,PAFNUNCIO PADILLA 13,INT203,PISO2,CIUDAD SATELITE,NAUCALPAN DE JUAREZ,53100,CTO CIRCUNVALACION,MANUEL E IZAGUIRRE,Estado de Mexico,ALLNETI  SA DE CV
41,CASA GALVAN GUADALAJ,ARA SA DE CV,,AVENA,123,,GRANJAS ESMERALDA,IZTAPALAPA,9810,CAPORALES,CAMPESINOS,CDMX,CASA GALVAN GUADALAJARA  SA DE CV
42,DURI INSTRUMENTOS Y,CONTROLES#SA DE CV,,AV CENTRAL,314,,EUZKADI,AZCAPOTZALCO,2660,ESQ JDN,COOK,CDMX,DURI INSTRUMENTOS Y CONTROLES SA DE CV
43,J.E. ASOCIADOS EN CO,MERCIO PROFESIONAL,SA DE CV,NOGAL,57,307,STA MARIA LA RIBERA,CUAUHTEMOC,6400,HORTENCIA,AMADO NERVO,CDMX,J.E. ASOCIADOS EN COMERCIO PROFESIONAL  SA DE CV
44,DISTRIBUIDORA DE REP,UESTOS INDUSTRIALES,SA DE CV,AV CALZADA TLATILCO,229,3,TLATILCO,AZCAPOTZALCO,2860,UNION,JARDIN,CDMX,DISTRIBUIDORA DE REPUESTOS INDUSTRIALES  SA DE CV
45,VIAJES DUA TOURS SA,DE CV,,PESTALOZZI,909,,DEL VALLE,BENITO JUAREZ,3100,RES,SER,CDMX,VIAJES DUA TOURS  SA DE CV
46,VO GROUP SA DE CV,,,CLL HERIBERTO FRIAS,1439,403 404,DEL VALLE CENTRO,BENITO JUAREZ,3100,MIGUEL LAURENT,SAN LORENZO,CDMX,VO GROUP  SA DE CV
47,PAPELES Y CUADERNOS,MONKY S#A# DE C#V#,,CANARIAS,MZ 4,LT 11,GRANJAS CABRERA,TLAHUAC,13230,SOL,MAR,CDMX,PAPELES Y CUADERNOS MONKY  SA DE CV
48,PROVEEDORA QUIMICO F,ARMACEUTICO SA DE CV,,JOSE MA MORELOS,164,,NI#O JESUS,TLALPAN,14080,,,CDMX,PROVEEDORA QUIMICO FARMACEUTICO  SA DE CV
49,TODO UN UNIVERSO EN,GLOBOS SA DE CV,,MESONES,149,LFG D102,CENTRO AREA 9,CUAUHTEMOC,6090,CRUCES,CORREO MAYOR,CDMX,TODO UN UNIVERSO EN GLOBOS  SA DE CV
50,INMOBILIARIA Y SERVI,CIOS TURISTICOS OMEG,A SA DE CV,2A CALLE NTE PTE,6,,COMITAN DE DOMINGUEZ CENTRO,COMITAN DE DOMINGUEZ,30000,HOTEL HACIENDA,DE LOS ANGELES,Chiapas,INMOBILIARIA Y SERVICIOS TURISTICOS OMEGA  SA DE CV
51,ORIELA SA DE CV,,,EDEN,30,,LAS AGUILAS,ALVARO OBREGON,1710,PRIMERA,SEGUNDA,CDMX,ORIELA  SA DE CV
52,OFFSET PUBLICIDAD TA,YE SA DE CV,,SUR 69 A,3036,########,AMPLIACION ASTURIAS,CUAUHTEMOC,6890,VIADUCTO,VENTURA  TENA,CDMX,OFFSET PUBLICIDAD TAYE  SA DE CV
53,CRUZE SERVICIOS CORP,ORATIVOS SA DE CV,,AV DOCTOR JOSE MARIA VERTIZ,1185,,LETRAN VALLE,BENITO JUAREZ,3650,NINGUNA,NINGUNA,CDMX,CRUZE SERVICIOS CORPORATIVOS  SA DE CV
54,CRUZAQUIM SA DE CV,,,OCOTE,MZ 17,LT 15,ROSA DE CASTILLA,IXTAPALUCA,56580,OLIVAR,CEDA DE OCOTE,Estado de Mexico,CRUZAQUIM  SA DE CV
55,"CORPORATIVO LLB, S.A",# DE C#V#,,RICARDO PALMERIN,100,,GUADALUPE INN,ALVARO OBREGON,1020,UNO,DOS,CDMX,"CORPORATIVO LLB, SA DE CV"
56,COMPONENTES ELECTRON,ICOS IXMIQUILPAN SA,DE CV,DOCTOR JESUS DEL ROSAL,12,,SAN ANTONIO,IXMIQUILPAN,42300,SIN NOMBRE,SIN NOMBRE,Hidalgo,COMPONENTES ELECTRONICOS IXMIQUILPAN  SA DE CV
57,DESARROLLOS DE ENERG,IA DE MEXICO SA DE C,V,AV SAN JERONIMO,550,PISO 2,JARDINES DEL PEDREGAL,ALVARO OBREGON,1900,PERIFERICO,AGUA,CDMX,DESARROLLOS DE ENERGIA DE MEXICO  SA DE CV
58,"LM 2000,SA DE CV",,,EUGENIA,1205,3,COL DEL VALLE,BENITO JUAREZ,3100,,,CDMX,"LM 2000, SA DE CV"
59,TEPELCO SA DE CV,,,PLAZUELA 2 DE ABRIL,1,,MIRAFLORES,CHALCO,56645,A,A,Estado de Mexico,TEPELCO  SA DE CV
60,TECNOALIMENTOS SA DE,CV,,CARRETERA A LA GRIEGA,KM 3 75,,EL COYME,EL MARQUES,76245,VIRREYES,CAMINO SIN NOMBRE,Queretaro,TECNOALIMENTOS SA DE CV
61,INNOVACERO SA DE CV,,,PRIV FLORES MAGON,1304,,ESMERALDA,GUADALUPE,67140,PEPETRONILO TREVI#O,PETRONILO TREVI#O,Nuevo Leon,INNOVACERO  SA DE CV
62,SUPER MAYOREO DE CAR,NES DE PARRAL# S#A#,DE C#V#,ABRAHAM GONZALEZ,10,,LAS QUINTAS,HIDALGO DEL PARRAL,33860,AV LAS QUINTAS,PROL A GONZALEZ,Chihuahua,SUPER MAYOREO DE CARNES DE PARRAL  SA DE CV
63,DB PUBLICIDAD  SA DE,CV,,AV NUEVO LEON,202,302,HIPODROMO,CUAUHTEMOC,6100,BAJA CALIFORNIA,QUINTANA ROO,CDMX,DB PUBLICIDAD SA DE CV
64,TERCERA GENERACION F,AB VAPORERAS 2000 SA,DE CV,ARTURO SOTO RANGEL,LT 3,MZ 209,JORGE NEGRETE,GUSTAVO A MADERO,7280,ARTURO SOTO,JORGE NEGRETE,CDMX,TERCERA GENERACION FAB VAPORERAS 2000 SA DE CV
65,SEGURIDAD INDUSTRIAL,DEL BAJIO SA DE CV,,BLV FRANCISCO VILLA,1098,FRACC,GUADALUPE,DURANGO,34220,ENTRADA MDO ABASTOS,SIN NUMERO,Durango,SEGURIDAD INDUSTRIALDEL BAJIO  SA DE CV
66,ADMINISTRACION MEDIC,A ESPECIALIZADA SA D,E CV,ALFONSO HERRERA,124,E,SAN RAFAEL,CUAUHTEMOC,6470,QWSQW,THIERS,CDMX,ADMINISTRACION MEDICA ESPECIALIZADA  SA DE CV
67,AGROSANHER S DE RL D,E CV,,DE LAS ROSAS,7,,RES JUAN DIEGO,ENSENADA,22895,ZERTUCHE,KINO,Baja California,AGROSANHER S DE RL DE CV
68,CONSTRUCTORA RASCON,SA DE CV,,LUIS ESTAVILLO MUOZ,701,B,BARRIO DEL NORTE,CHIHUAHUA,31300,PRIV DE SANMARTIN,RIO SAN PEDRO,Chihuahua,CONSTRUCTORA RASCON  SA DE CV
69,"LA SOCIEDAD, COMUNIC",ACION Y PUBLICIDAD S,#A# DE C#V#,AVE REAL SAN AGUSTIN,304,B4,RESIDENCIAL SAN AGUS,SAN PEDRO GARZA GARCIA,66260,MORONES PRIETA,AMPLIACION LOS DOCTORES,Nuevo Leon,"LA SOCIEDAD, COMUNICACION Y PUBLICIDAD  SA DE CV"
70,CACHUCHAS Y PLAYERAS,BETO#SA DE CV,,ISABEL LA CATOLICA,517,,ALGARIN,CUAUHTEMOC,6880,SANTA CATALINA,LUNA,CDMX,CACHUCHAS Y PLAYERASBETO SA DE CV
71,CP RUSTICOS MEXICANO,S S DE RL DE CV,,DIAGONAL 5 PONIENTE,131,,CHIPILO DE FRANCISCO,SAN GREGORIO ATZOMPA,74325,16 DE SEPTIEMBRE,5 DE MAYO,Puebla,CP RUSTICOS MEXICANOS S DE RL DE CV
72,ZAPATERIAS 5 HERMANO,S DE TEXCOCO SA DE C,V,PZA DE LA CONSTITUCION,8,,TEXCOCO DE MORA CENT,TEXCOCO,56100,MORELOS,NEZAHUALCOYOTL,Estado de Mexico,ZAPATERIAS 5 HERMANOS DE TEXCOCO  SA DE CV
73,TELECOMUNICACIONES C,OMMSERVICE SA DE CV,,HERIBERTO FRIAS,1439,403,DEL VALLE,BENITO JUAREZ,3100,TRES,DOS,CDMX,TELECOMUNICACIONES COMMSERVICE  SA DE CV
74,"OPTEC SISTEMAS,SA DE",CV,,CAMPECHE,290,3,CONDESA,CUAUHTEMOC,6140,,,CDMX,"OPTEC SISTEMAS, SA DE CV"
75,AUTO TRANSPORTES SEK,OM SA DE CV,,ALFONSO REYES,13,,CUAUTITLAN CENTRO,CUAUTITLAN,54800,,,Estado de Mexico,AUTO TRANSPORTES SEKOM  SA DE CV
76,DISE#OS ESPA#OLES SC,DE RL DE CV,,ESCAPE,24,A,ALCE BLANCO,NAUCALPAN,53370,DOS,TRES,Estado de Mexico,DISEOS ESPAOLES SCDE RL DE CV
77,COMBUSTION AUTOMATIZ,ACION INDUSTRIAL SA,DE CV,ALTOS ABASOLO,103,,SAN BARTOLO NAUCALPAN NAUCALPA,NAUCALPAN,53000,GUZTAVO BAZ,VENUSTIANO CARRANZA,Estado de Mexico,COMBUSTION AUTOMATIZACION INDUSTRIAL  SA DE CV
78,LOGISTICA Y NEXOS IN,FORMATICOS SA DE CV,,E PALLARES Y PORTILLO,103,,PARQUE SAN ANDRES,COYOACAN,4040,DIV DEL NTE,ABDEXS,CDMX,LOGISTICA Y NEXOS INFORMATICOS  SA DE CV
79,PRODUCTOS BASICOS EL,REY  SA DE CV,,SANTA JULIA,134,,VICENTE VILLADA,NEZAHUALCOYOTL,57710,,,Estado de Mexico,PRODUCTOS BASICOS ELREY  SA DE CV
80,DC SALONES SA DE CV,,,AVE SAN JERONIMO,630,LOC 19,SAN JERONIMO LIDICE,ALVARO OBREGON,1090,AGUA,AVE ADOLFO LOPEZ MATEO,CDMX,DC SALONES  SA DE CV
81,RANDOM INTERACTIVE S,A DE CV,,ABASOLO,128,,DEL CARMEN,COYOACAN,4100,VENUSTIANO CARRANZA,LOS HEROES TECAMAC,CDMX,RANDOM INTERACTIVE  SA DE CV
82,AUREACODE SA DE CV,,,PROLONGACION 5 DE MAYO,801 A,LOCAL 77,VALLE VERDE,TOLUCA,50140,PASEO TOLLOCAN,PRESA DE LA AMISTAD,Estado de Mexico,AUREACODE  SA DE CV
83,PROMOVENTAS INMOBILI,ARIAS SA DE CV,,FUENTE DE HERMES,6,SN,LOMAS DE TECAMACHALCO,NAUCALPAN,53950,FUENTE CLEO,FUENTE ACUEDUCTO,Estado de Mexico,PROMOVENTAS INMOBILIARIAS  SA DE CV
84,MI MERCADEO INTERNAC,IONAL SA DE CV,,BLV ADOLFO LOPEZ MATEOS,9,BODEGA 9,EL POTRERO,ATIZAPAN DE ZARAGOZA,52975,SAN LUIS POTOSI,AV PEDRO VELAZQUEZ,Estado de Mexico,MI MERCADEO INTERNACIONAL  SA DE CV
85,SOLUCIONES EN INGENI,ERIA NOVIDEA SA DE C,V,ZACATECAS,36,108,ROMA NORTE,CUAUHTEMOC,6700,FRONTERA,MERIDA,CDMX,SOLUCIONES EN INGENIERIA NOVIDEA  SA DE CV
86,DIRE TEL SA DE CV,,,SUR 73,4341,,VIADUCTO PIEDAD,IZTACALCO,8200,,,CDMX,DIRE TEL  SA DE CV
87,MUEBLES Y COLCHONES,FENIX SA DE CV,,PRIV RANCHO DE LA CRUZ,86,13,JAMAICA,VENUSTIANO CARRANZA,15800,CONGRESO DE LA UNION,CALZ DE LA VIGA,CDMX,MUEBLES Y COLCHONES FENIX  SA DE CV
88,MDS COMERCIALIZADOR,DE IXTAPALUCA SA DE,CV,PUERTO DE ALVARADO,MZ 34,LT 16,LA BOMBA,CHALCO,56600,AV CUAUHTEMOC,CDA DE ALVARADO,Estado de Mexico,MDS COMERCIALIZADOR DE IXTAPALUCA  SA DE CV
89,PINTURAS SOMMER SA D,E CV,,AVENIDA BENITO JUAREZ,SN,########,SANTIAGO TEYAHUALCO,TULTEPEC,54980,BENITO,HIDALGO,Estado de Mexico,PINTURAS SOMMER  SA DE CV
90,"CAMPANAS SONORAS,SA",DE CV,,CARRET MEX CUERNAVACA,5265,,SAN PEDRO MARTIR,TLALPAN,14650,PENA,VIOLETA,CDMX,"CAMPANAS SONORAS, SA DE CV"
91,CALIDAD E INOVACION,EN EMPAQUE Y EMBALAJ,E# S#A# DE C#V#,CERRADA DE TEJOCOTES,4,A,SAN MARTIN OBISPO TEPETLIXPA,CUAUTITLAN IZCALLI,54763,AVENIDA TEJOCOTES,A 500 MTS D WALMART,Estado de Mexico,CALIDAD E INOVACION EN EMPAQUE Y EMBALAJE  SA DE CV
92,INDUSTRIA Y SERVICIO,S MADEREROS S#G# S#A,# DE C#V#,PELICANOS,65,,LAGO DE GUADALUPE,CUAUTITLAN IZCALLI,54760,HALCON,PAPAGAYO,Estado de Mexico,INDUSTRIA Y SERVICIOS MADEREROS SG  SA DE CV
93,FABRICA DE CERILLOS,Y FOSFOROS LA INDEPE,NDIENTE S#A# DE C#V#,CALZ A LA VENTA,30,,COMPLEJO INDUSTRIAL,CUAUTITLAN IZCALLI,54730,CONSTITUCION Y,SAN ISIDRO,Estado de Mexico,FABRICA DE CERILLOS Y FOSFOROS LA INDEPENDIENTE  SA DE CV
94,QUIMADI SA DE CV,,,PARQ IZTACCIHUATL,18,MZ14 LT7,JARDINES DEL ALBA,CUAUTITLAN IZCALLI,54750,CALLEJON LIRIOS,AV PASEOS DEL ALBA,Estado de Mexico,QUIMADI  SA DE CV
95,CARROCERIAS MONTOYA,DE AGS#SA DE CV,,AQUILES SERDAN,1030,,BUENOS AIRES,AGUASCALIENTES,20020,OCEANIA,ALFREDO LEWIS,Aguascalientes,CARROCERIAS MONTOYA DE AGS SA DE CV
96,ALTA MECANICA INDUST,RIAL SA DE CV,,AV INDUSTRIA,55,,SAN PABLO XALPA,TLALNEPANTLA DE BAZ,54170,CALLE 12,CALLE 16,Estado de Mexico,ALTA MECANICA INDUSTRIAL  SA DE CV
97,MICROSISTEMAS COMPUT,ACIONALES DE COLIMA,SA DE CV,ZARAGOZA,235,A,COLIMA CENTRO,COLIMA,28000,FILOMENO MEDINA,1,Colima,MICROSISTEMAS COMPUTACIONALES DE COLIMA  SA DE CV
98,SERVICIO E IMPORTACI,ON DE RAM# S#A# DE C,#V#,RIO CHURUBUSCO,1120,51,INFONAVIT IZTACALCO,IZTACALCO,8900,TEZONTLE,APATLACO,CDMX,SERVICIO E IMPORTACION DE RAM  SA DE CV
99,INTERBIKE SA DE CV,,,TOPACIO,13,ACCES A,CENTRO DE LA CIUDAD,CUAUHTEMOC,6090,REGINA,SAN PABLO,CDMX,INTERBIKE  SA DE CV
100,CLOUD MONTERREY SA D,E CV,,AV DE LAS TORRES,27,,CAMPESTRE CHURUBUSCO,COYOACAN,4200,CALZ DE TLALPAN,AV TAXQUENA,CDMX,CLOUD MONTERREY  SA DE CV
101,EXCELENCIA GASTRONOM,ICA ALVAREZ SA DE CV,,COAHUILA,108,4,ROMA NORTE,CUAUHTEMOC,6700,TONALA,JALAPA,CDMX,EXCELENCIA GASTRONOMICA ALVAREZ  SA DE CV
102,SUCONSULTOR SA DE CV,,,XOCHICALCO,464,,VERTIZ NARVARTE,BENITO JUAREZ,3600,EUGENIA,SAN BORJA,CDMX,SUCONSULTOR  SA DE CV
103,GOVERNMENT SOLUTIONS,MEXICO  SA DE CV,,PONIENTE 140,839,PB 5,INDUSTRIAL VALLEJO,AZCAPOTZALCO,2300,NORTE 59,AVENIDA CEYLAN,CDMX,GOVERNMENT SOLUTIONSMEXICO  SA DE CV
104,BMTEXTIL SA DE CV,,,CALLE CAMPESINOS,406,,SANTA ISABEL INDUSTR,IZTAPALAPA,9820,,,CDMX,BMTEXTIL  SA DE CV
105,INGYDIS SA DE CV,,,ALBINO GARCIA,355,,VIADUCTO PIEDAD,IZTACALCO,8200,SANTA ANITA,CORUNA,CDMX,INGYDIS  SA DE CV
106,FRENOS Y REFACCIONES,VALLEJO#  SA DE CV,,CALLE 9,1442,4,AGUILERA,AZCAPOTZALCO,2900,,,CDMX,FRENOS Y REFACCIONESVALLEJO  SA DE CV
107,TECID SA DE CV,,,AV 3 A,52,,SANTA ROSA,GUSTAVO A MADERO,7620,CALLE 4 A,CALLE 2 A,CDMX,TECID  SA DE CV
108,NEGOCIOS EN COMPUTO,Y SISTEMAS DE MEXICO,SA DE CV,MELCHOPR OCAMPO,104,6,SAN RAFAEL,CUAUHTEMOC,6470,CALLE 6,CALLE 9,CDMX,NEGOCIOS EN COMPUTO Y SISTEMAS DE MEXICO SA DE CV
109,"AD INFINITUM,SA DE C",V,,RICARDO MARGAIN,575,EDIF C,SANTA ENGRACIA,SAN PEDRO GARZA GARCIA,66267,UNO,DOS,Nuevo Leon,"AD INFINITUM, SA DE CV"
110,CRHOMO SERVICIOS SA,DE CV,,PEDRO NORIEGA,2024,A,TERMINAL,MONTERREY,64580,#,#,Nuevo Leon,CRHOMO SERVICIOS  SA DE CV
111,TEA INNOVACION EMPRE,SARIAL SA DE CV,,IGNACIO ZARAGOZA,507,B,CENTRO,SAN PEDRO GARZA GARCIA,66230,UNO,DOS,Nuevo Leon,TEA INNOVACION EMPRESARIAL  SA DE CV
112,"STEEL-GALV, S.A. DE",C#V#,,PRIVADA INDUSTRIAS,129,,PARQUE INDUSTRIAL ES,GENERAL ESCOBEDO,66062,C DOS,TRES,Nuevo Leon,"STEEL-GALV, SA DE CV"
113,QUICK PLASTICS SA DE,CV,,CARRETERA A COLOMBIA KM32 5,SN,########,SALINAS VICTORIA,SALINAS VICTORIA,65500,VIAS DE FERROCCARIL,1 KM ANTES ENTRAR MAMULIQ,Nuevo Leon,QUICK PLASTICS SA DE CV
114,PRO TALENTO MEXICO S,A DE CV,,MIGUEL NIETO,550,,MONTERREY CENTRO,MONTERREY,64000,UNO,DOS,Nuevo Leon,PRO TALENTO MEXICO  SA DE CV
115,COMERCIALIZADORA JEF,RAMEX#SA DE CV,,TOLEDO,137,,AMERICA,GUADALUPE,67130,UNO,DOS,Nuevo Leon,COMERCIALIZADORA JEFRAMEX SA DE CV
116,CARTON AND SERVICE S,A DE CV,,ENRIQUE GRANADOS,208,,COLINAS DE SAN JERON,MONTERREY,64630,DOS,TRES,Nuevo Leon,CARTON AND SERVICE  SA DE CV
117,SERVICIO CRUZ DE MEX,ICO 2003 SA DE CV,,SAN SIMON,142,,SAN SIMON TICUMAC,BENITO JUAREZ,3660,RAFAEL SOLANA,ISLAS CANARIAS,CDMX,SERVICIO CRUZ DE MEXICO 2003  SA DE CV
